match_no,inningno,ballnumber,over,outcome,batter,bowler,comment,BattingTeam
1,2,10,1.4,0,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, no run,",Gujarat Titans
1,2,11,1.5,4,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, Four,",Gujarat Titans
1,2,12,1.6,0,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, no run,",Gujarat Titans
1,2,13,2.1,1,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, 1 run,",Gujarat Titans
1,2,14,2.2,1,Shubman Gill,Deepak Chahar,"Deepak Chahar to Shubman Gill, 1 run,",Gujarat Titans
1,2,15,2.3,1,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, 1 run,",Gujarat Titans
1,2,16,2.4,1,Shubman Gill,Deepak Chahar,"Deepak Chahar to Shubman Gill, 1 run,",Gujarat Titans
1,2,17,2.5,6,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, Six,",Gujarat Titans
1,2,18,2.6,1,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, 1 run,",Gujarat Titans
1,2,19,3.1,0,Wriddhiman Saha,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Wriddhiman Saha, no run,",Gujarat Titans
1,2,20,3.2,1nb,Wriddhiman Saha,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Wriddhiman Saha, 1 no ball,",Gujarat Titans
1,2,21,3.2,1wd,Wriddhiman Saha,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Wriddhiman Saha, 1 wide,",Gujarat Titans
1,2,22,3.2,4,Wriddhiman Saha,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Wriddhiman Saha, Four,",Gujarat Titans
1,2,23,3.3,1,Wriddhiman Saha,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Wriddhiman Saha, 1 run,",Gujarat Titans
1,2,24,3.4,1,Shubman Gill,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Shubman Gill, 1 run,",Gujarat Titans
1,2,25,3.5,w,Wriddhiman Saha,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Wriddhiman Saha, no run,                           Wicket - c S Dube b RS Hangargekar batsmen out 25(16)",Gujarat Titans
1,2,26,3.6,4,Sai Sudharsan,Rajvardhan Hangargekar,"Rajvardhan Hangargekar to Sai Sudharsan, Four,",Gujarat Titans
1,2,27,4.1,4,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, Four,",Gujarat Titans
1,2,28,4.2,1,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, 1 run,",Gujarat Titans
1,2,29,4.3,2nb,Sai Sudharsan,Tushar Deshpande,"Tushar Deshpande to Sai Sudharsan, 2 no ball,",Gujarat Titans
1,2,30,4.3,6,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, Six,",Gujarat Titans
1,2,31,4.4,0,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, no run,",Gujarat Titans
1,2,32,4.5,1,Shubman Gill,Tushar Deshpande,"Tushar Deshpande to Shubman Gill, 1 run,",Gujarat Titans
1,2,33,4.6,1,Sai Sudharsan,Tushar Deshpande,"Tushar Deshpande to Sai Sudharsan, 1 run,",Gujarat Titans
1,2,34,5.1,0,Sai Sudharsan,Mitchell Santner,"Mitchell Santner to Sai Sudharsan, no run,",Gujarat Titans
1,2,35,5.2,0,Sai Sudharsan,Mitchell Santner,"Mitchell Santner to Sai Sudharsan, no run,",Gujarat Titans
1,2,36,5.3,0,Sai Sudharsan,Mitchell Santner,"Mitchell Santner to Sai Sudharsan, no run,",Gujarat Titans
1,2,37,5.4,4,Sai Sudharsan,Mitchell Santner,"Mitchell Santner to Sai Sudharsan, Four,",Gujarat Titans
1,2,38,5.5,1,Sai Sudharsan,Mitchell Santner,"Mitchell Santner to Sai Sudharsan, 1 run,",Gujarat Titans
1,2,39,5.6,4,Shubman Gill,Mitchell Santner,"Mitchell Santner to Shubman Gill, Four,",Gujarat Titans
1,2,40,6.1,1,Sai Sudharsan,Ravindra Jadeja,"Ravindra Jadeja to Sai Sudharsan, 1 run,",Gujarat Titans
1,2,41,6.2,2,Shubman Gill,Ravindra Jadeja,"Ravindra Jadeja to Shubman Gill, 2 runs,",Gujarat Titans
1,2,42,6.3,0,Shubman Gill,Ravindra Jadeja,"Ravindra Jadeja to Shubman Gill, no run,",Gujarat Titans
1,2,43,6.4,1lb,Shubman Gill,Ravindra Jadeja,"Ravindra Jadeja to Shubman Gill, 1 leg bye,",Gujarat Titans
1,2,44,6.5,0,Sai Sudharsan,Ravindra Jadeja,"Ravindra Jadeja to Sai Sudharsan, no run,",Gujarat Titans
1,2,45,6.6,2,Sai Sudharsan,Ravindra Jadeja,"Ravindra Jadeja to Sai Sudharsan, 2 runs,",Gujarat Titans
1,2,46,7.1,0,Shubman Gill,Mitchell Santner,"Mitchell Santner to Shubman Gill, no run,",Gujarat Titans
1,2,47,7.2,1,Shubman Gill,Mitchell Santner,"Mitchell Santner to Shubman Gill, 1 run,",Gujarat Titans
1,2,48,7.3,4,Sai Sudharsan,Mitchell Santner,"Mitchell Santner to Sai Sudharsan, Four,",Gujarat Titans
